,area_type,location,size,total_sqft,bath,price,bhk,price_per_sqft
54,Super built-up  Area,2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
55,Super built-up  Area,2nd Phase Judicial Layout,2 BHK,900.0,2.0,41.0,2,4555.555555555556
56,Super built-up  Area,2nd Phase Judicial Layout,3 BHK,1681.0,3.0,69.0,3,4104.699583581201
57,Super built-up  Area,2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
58,Super built-up  Area,2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2,3500.0
59,Plot  Area,2nd Stage Arekere Mico Layout,4 Bedroom,1200.0,4.0,130.0,4,10833.333333333334
60,Plot  Area,2nd Stage Nagarbhavi,4 Bedroom,1500.0,4.0,220.0,4,14666.666666666666
61,Plot  Area,2nd Stage Nagarbhavi,6 Bedroom,3000.0,8.0,451.0,6,15033.333333333334
62,Plot  Area,2nd Stage Nagarbhavi,6 Bedroom,2400.0,8.0,450.0,6,18750.0
63,Plot  Area,2nd Stage Nagarbhavi,4 Bedroom,1350.0,4.0,200.0,4,14814.814814814816
64,Plot  Area,2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,225.0,4,18750.0
65,Plot  Area,2nd Stage Nagarbhavi,4 Bedroom,1500.0,3.0,230.0,4,15333.333333333334
66,Plot  Area,3rd Block Banashankari,6 Bedroom,2400.0,8.0,650.0,6,27083.333333333332
67,Plot  Area,3rd Block Banashankari,4 Bedroom,1200.0,4.0,175.0,4,14583.333333333334
68,Plot  Area,3rd Block Banashankari,5 Bedroom,2400.0,4.0,325.0,5,13541.666666666666
69,Super built-up  Area,3rd Block Hrbr Layout,2 BHK,1056.0,2.0,80.0,2,7575.757575757576
70,Built-up  Area,3rd Block Hrbr Layout,2 BHK,1320.0,2.0,90.0,2,6818.181818181818
71,Built-up  Area,3rd Block Hrbr Layout,2 BHK,1300.0,2.0,95.0,2,7307.692307692308
72,Built-up  Area,3rd Block Hrbr Layout,3 BHK,1650.0,3.0,140.0,3,8484.848484848484
73,Built-up  Area,3rd Block Jayanagar,3 BHK,2150.0,3.0,240.0,3,11162.790697674418
74,Super built-up  Area,3rd Block Koramangala,3 BHK,2100.0,3.0,270.0,3,12857.142857142857
75,Built-up  Area,3rd Phase JP Nagar,4 BHK,4500.0,4.0,345.0,4,7666.666666666667
76,Super built-up  Area,4th Block Jayanagar,2 BHK,900.0,2.0,70.0,2,7777.777777777777
77,Super built-up  Area,4th Block Jayanagar,3 BHK,2005.0,3.0,240.0,3,11970.074812967581
78,Super built-up  Area,4th Block Jayanagar,3 BHK,1567.2,2.0,190.0,3,12123.532414497193
79,Super built-up  Area,4th Block Koramangala,2 BHK,1225.0,2.0,150.0,2,12244.897959183674
80,Carpet  Area,4th Block Koramangala,9 BHK,4500.0,9.0,500.0,9,11111.111111111111
81,Built-up  Area,4th Block Koramangala,3 BHK,1800.0,3.0,140.0,3,7777.777777777777
82,Super built-up  Area,4th Block Koramangala,4 BHK,3400.0,6.0,420.0,4,12352.941176470587
83,Super built-up  Area,4th Block Koramangala,2 BHK,1269.0,2.0,97.0,2,7643.81402679275
84,Super built-up  Area,4th Phase JP Nagar,2 BHK,1070.0,2.0,38.9,2,3635.5140186915887
85,Super built-up  Area,4th Phase JP Nagar,2 BHK,1080.0,2.0,38.0,2,3518.5185185185187
86,Super built-up  Area,4th Phase JP Nagar,2 BHK,600.0,4.0,70.0,2,11666.666666666666
87,Super built-up  Area,4th T block Jayanagar,3 BHK,2401.0,3.0,185.0,3,7705.12286547272
88,Built-up  Area,4th T block Jayanagar,4 BHK,3900.0,4.0,333.0,4,8538.461538461539
89,Built-up  Area,4th T block Jayanagar,4 Bedroom,1550.0,4.0,120.0,4,7741.935483870968
90,Super built-up  Area,4th T block Jayanagar,3 BHK,2100.0,3.0,220.0,3,10476.190476190477
91,Super built-up  Area,4th T block Jayanagar,3 BHK,2400.0,3.0,185.0,3,7708.333333333333
92,Super built-up  Area,5th Block Hbr Layout,2 BHK,1206.0,2.0,56.0,2,4643.449419568822
93,Super built-up  Area,5th Block Hbr Layout,3 BHK,1270.0,2.0,70.0,3,5511.811023622047
94,Super built-up  Area,5th Block Hbr Layout,2 BHK,1312.0,2.0,69.0,2,5259.1463414634145
95,Super built-up  Area,5th Block Hbr Layout,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
96,Built-up  Area,5th Block Hbr Layout,5 Bedroom,3600.0,5.0,130.0,5,3611.1111111111113
97,Built-up  Area,5th Block Hbr Layout,6 BHK,5100.0,5.0,300.0,6,5882.35294117647
98,Super built-up  Area,5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
99,Built-up  Area,5th Phase JP Nagar,2 BHK,1150.0,3.0,52.5,2,4565.217391304348
100,Built-up  Area,5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000.0
101,Super built-up  Area,5th Phase JP Nagar,2 BHK,1207.0,2.0,63.0,2,5219.552609776305
102,Built-up  Area,5th Phase JP Nagar,3 BHK,1725.0,2.0,100.0,3,5797.101449275362
103,Super built-up  Area,5th Phase JP Nagar,2 BHK,1440.0,2.0,60.0,2,4166.666666666667
104,Built-up  Area,5th Phase JP Nagar,3 BHK,1700.0,2.0,100.0,3,5882.35294117647
106,Super built-up  Area,5th Phase JP Nagar,5 BHK,2500.0,5.0,110.0,5,4400.0
107,Built-up  Area,5th Phase JP Nagar,1 BHK,600.0,1.0,30.0,1,5000.0
108,Super built-up  Area,5th Phase JP Nagar,2 BHK,1390.0,2.0,65.0,2,4676.258992805755
109,Built-up  Area,5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000.0
110,Super built-up  Area,5th Phase JP Nagar,2 BHK,1000.0,2.0,48.0,2,4800.0
111,Super built-up  Area,5th Phase JP Nagar,3 BHK,1350.0,2.0,75.0,3,5555.555555555556
112,Super built-up  Area,5th Phase JP Nagar,1 BHK,552.0,1.0,23.5,1,4257.246376811594
113,Super built-up  Area,5th Phase JP Nagar,2 BHK,1200.0,2.0,51.0,2,4250.0
117,Built-up  Area,5th Phase JP Nagar,2 BHK,1030.0,2.0,57.0,2,5533.980582524272
118,Super built-up  Area,5th Phase JP Nagar,2 BHK,1200.0,2.0,68.0,2,5666.666666666667
119,Built-up  Area,5th Phase JP Nagar,2 BHK,1190.0,2.0,61.8,2,5193.27731092437
120,Super built-up  Area,5th Phase JP Nagar,5 BHK,4000.0,5.0,170.0,5,4250.0
121,Super built-up  Area,5th Phase JP Nagar,2 BHK,1080.0,2.0,53.0,2,4907.407407407408
122,Super built-up  Area,5th Phase JP Nagar,2 BHK,1041.0,2.0,54.0,2,5187.319884726225
123,Super built-up  Area,5th Phase JP Nagar,2 BHK,812.0,2.0,42.0,2,5172.413793103448
124,Built-up  Area,5th Phase JP Nagar,2 BHK,1010.0,2.0,57.0,2,5643.564356435643
126,Super built-up  Area,5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
127,Super built-up  Area,5th Stage BEML Layout,3 BHK,2000.0,3.0,85.0,3,4250.0
128,Super built-up  Area,5th Stage BEML Layout,3 BHK,2000.0,3.0,85.0,3,4250.0
129,Super built-up  Area,6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2,6208.053691275168
130,Super built-up  Area,6th Phase JP Nagar,2 BHK,1180.0,2.0,80.0,2,6779.661016949152
131,Super built-up  Area,6th Phase JP Nagar,4 BHK,3245.0,4.0,250.0,4,7704.160246533128
132,Built-up  Area,6th Phase JP Nagar,3 BHK,1645.0,3.0,100.0,3,6079.0273556231
133,Built-up  Area,6th Phase JP Nagar,2 BHK,1140.0,2.0,65.0,2,5701.754385964912
134,Super built-up  Area,6th Phase JP Nagar,3 BHK,2040.0,3.0,200.0,3,9803.921568627451
135,Super built-up  Area,6th Phase JP Nagar,2 BHK,1213.0,2.0,63.0,2,5193.734542456719
136,Built-up  Area,6th Phase JP Nagar,2 BHK,1216.0,2.0,60.0,2,4934.210526315789
137,Super built-up  Area,6th Phase JP Nagar,2 BHK,1460.0,2.0,80.0,2,5479.45205479452
138,Super built-up  Area,6th Phase JP Nagar,3 BHK,2003.0,3.0,200.0,3,9985.022466300548
139,Super built-up  Area,6th Phase JP Nagar,3 BHK,1810.0,3.0,131.0,3,7237.5690607734805
140,Super built-up  Area,6th Phase JP Nagar,3 BHK,1515.0,2.0,135.0,3,8910.89108910891
141,Super built-up  Area,6th Phase JP Nagar,2 BHK,1192.0,2.0,75.0,2,6291.946308724832
142,Super built-up  Area,6th Phase JP Nagar,2 BHK,1280.0,2.0,88.0,2,6875.0
143,Built-up  Area,6th block Koramangala,2 BHK,1117.0,2.0,110.0,2,9847.806624888093
144,Super built-up  Area,6th block Koramangala,3 BHK,3000.0,3.0,400.0,3,13333.333333333334
145,Built-up  Area,7th Block Jayanagar,5 Bedroom,3000.0,3.0,528.0,5,17600.0
146,Plot  Area,7th Block Jayanagar,3 Bedroom,2400.0,3.0,408.0,3,17000.0
147,Built-up  Area,7th Block Jayanagar,3 BHK,1903.0,2.0,293.0,3,15396.741986337362
148,Built-up  Area,7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2,6666.666666666667
149,Super built-up  Area,7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2,7322.834645669292
150,Built-up  Area,7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3,7042.2535211267605
151,Built-up  Area,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
152,Built-up  Area,7th Phase JP Nagar,2 BHK,1245.0,2.0,94.0,2,7550.2008032128515
153,Super built-up  Area,7th Phase JP Nagar,2 BHK,1175.0,2.0,82.0,2,6978.723404255319
154,Super built-up  Area,7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3,6785.714285714285
155,Super built-up  Area,7th Phase JP Nagar,3 BHK,2225.0,3.0,160.0,3,7191.011235955056
156,Built-up  Area,7th Phase JP Nagar,2 BHK,1050.0,2.0,71.0,2,6761.9047619047615
157,Super built-up  Area,7th Phase JP Nagar,2 BHK,1100.0,2.0,46.0,2,4181.818181818182
158,Built-up  Area,7th Phase JP Nagar,2 BHK,918.0,2.0,50.49,2,5500.0
159,Super built-up  Area,7th Phase JP Nagar,3 BHK,1450.0,2.0,100.0,3,6896.551724137931
160,Super built-up  Area,7th Phase JP Nagar,2 BHK,1190.0,2.0,49.98,2,4200.0
161,Super built-up  Area,7th Phase JP Nagar,3 BHK,1420.0,2.0,96.0,3,6760.56338028169
162,Super built-up  Area,7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3,7142.857142857143
163,Super built-up  Area,7th Phase JP Nagar,2 BHK,980.0,2.0,69.0,2,7040.816326530612
164,Super built-up  Area,7th Phase JP Nagar,2 BHK,1180.0,2.0,72.0,2,6101.6949152542375
168,Built-up  Area,7th Phase JP Nagar,3 BHK,1400.0,3.0,115.0,3,8214.285714285714
169,Super built-up  Area,7th Phase JP Nagar,2 BHK,1270.0,2.0,83.0,2,6535.433070866142
171,Super built-up  Area,7th Phase JP Nagar,4 BHK,2503.0,4.0,188.0,4,7510.986815821015
172,Super built-up  Area,7th Phase JP Nagar,3 BHK,2200.0,3.0,190.0,3,8636.363636363636
175,Super built-up  Area,7th Phase JP Nagar,3 BHK,1575.0,2.0,110.0,3,6984.126984126984
176,Super built-up  Area,7th Phase JP Nagar,3 BHK,1850.0,3.0,140.0,3,7567.5675675675675
177,Built-up  Area,7th Phase JP Nagar,3 BHK,1575.0,2.0,120.0,3,7619.047619047619
178,Super built-up  Area,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
179,Super built-up  Area,7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3,7142.857142857143
180,Super built-up  Area,7th Phase JP Nagar,2 BHK,1175.0,2.0,82.5,2,7021.276595744681
183,Super built-up  Area,7th Phase JP Nagar,2 BHK,1215.0,2.0,90.0,2,7407.407407407408
184,Super built-up  Area,7th Phase JP Nagar,2 BHK,1050.0,2.0,75.0,2,7142.857142857143
185,Super built-up  Area,7th Phase JP Nagar,3 BHK,1300.0,3.0,89.13,3,6856.153846153846
186,Super built-up  Area,7th Phase JP Nagar,2 BHK,1130.0,2.0,73.0,2,6460.1769911504425
187,Super built-up  Area,7th Phase JP Nagar,3 BHK,1450.0,3.0,100.0,3,6896.551724137931
189,Super built-up  Area,7th Phase JP Nagar,2 BHK,1050.0,2.0,50.0,2,4761.9047619047615
190,Super built-up  Area,7th Phase JP Nagar,2 BHK,1275.0,2.0,87.0,2,6823.529411764706
192,Super built-up  Area,7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3,6666.666666666667
193,Built-up  Area,7th Phase JP Nagar,2 BHK,850.0,2.0,42.0,2,4941.176470588235
194,Built-up  Area,7th Phase JP Nagar,3 BHK,1680.0,3.0,117.0,3,6964.285714285715
195,Super built-up  Area,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
196,Super built-up  Area,7th Phase JP Nagar,2 BHK,1236.0,2.0,61.33,2,4961.974110032363
197,Super built-up  Area,7th Phase JP Nagar,2 BHK,1000.0,2.0,53.0,2,5300.0
198,Super built-up  Area,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476191
199,Super built-up  Area,7th Phase JP Nagar,3 BHK,1675.0,2.0,135.0,3,8059.701492537313
200,Super built-up  Area,7th Phase JP Nagar,2 BHK,1187.0,2.0,59.0,2,4970.513900589722
201,Super built-up  Area,7th Phase JP Nagar,3 BHK,1850.0,3.0,155.0,3,8378.378378378378
202,Built-up  Area,7th Phase JP Nagar,2 BHK,1000.0,2.0,61.0,2,6100.0
203,Super built-up  Area,7th Phase JP Nagar,3 BHK,1460.0,2.0,100.0,3,6849.315068493151
204,Super built-up  Area,7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3,6666.666666666667
205,Super built-up  Area,7th Phase JP Nagar,2 BHK,1200.0,2.0,62.5,2,5208.333333333333
206,Super built-up  Area,7th Phase JP Nagar,2 BHK,1000.0,2.0,70.65,2,7065.000000000001
207,Super built-up  Area,7th Phase JP Nagar,2 BHK,1080.0,2.0,75.0,2,6944.444444444444
209,Super built-up  Area,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476191
210,Super built-up  Area,7th Phase JP Nagar,3 BHK,1460.0,2.0,97.0,3,6643.835616438356
211,Built-up  Area,7th Phase JP Nagar,2 BHK,1120.0,2.0,65.0,2,5803.571428571428
212,Super built-up  Area,7th Phase JP Nagar,2 BHK,1100.0,3.0,60.0,2,5454.545454545455
213,Super built-up  Area,7th Phase JP Nagar,3 BHK,1790.0,3.0,120.0,3,6703.91061452514
214,Super built-up  Area,7th Phase JP Nagar,3 BHK,1680.0,3.0,117.0,3,6964.285714285715
215,Super built-up  Area,7th Phase JP Nagar,2 BHK,1050.0,2.0,77.0,2,7333.333333333333
216,Super built-up  Area,7th Phase JP Nagar,2 BHK,1050.0,2.0,75.0,2,7142.857142857143
217,Super built-up  Area,7th Phase JP Nagar,2 BHK,1040.0,2.0,75.0,2,7211.538461538462
218,Super built-up  Area,7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3,6785.714285714285
219,Super built-up  Area,7th Phase JP Nagar,3 BHK,1800.0,3.0,130.0,3,7222.222222222223
220,Super built-up  Area,7th Phase JP Nagar,2 BHK,1050.0,2.0,68.0,2,6476.190476190476
221,Built-up  Area,7th Phase JP Nagar,2 BHK,1000.0,2.0,60.0,2,6000.0
222,Super built-up  Area,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476191
223,Super built-up  Area,7th Phase JP Nagar,2 BHK,1050.0,2.0,77.47,2,7378.0952380952385
224,Super built-up  Area,7th Phase JP Nagar,2 BHK,1270.0,2.0,80.0,2,6299.212598425197
226,Super built-up  Area,7th Phase JP Nagar,3 BHK,1680.0,3.0,122.0,3,7261.9047619047615
227,Super built-up  Area,7th Phase JP Nagar,2 BHK,1130.0,2.0,85.0,2,7522.123893805309
228,Super built-up  Area,7th Phase JP Nagar,3 BHK,1680.0,3.0,130.0,3,7738.0952380952385
229,Built-up  Area,7th Phase JP Nagar,2 BHK,980.0,2.0,77.44,2,7902.040816326531
230,Super built-up  Area,7th Phase JP Nagar,3 BHK,1680.0,3.0,112.0,3,6666.666666666667
232,Super built-up  Area,7th Phase JP Nagar,3 BHK,2095.0,3.0,150.0,3,7159.904534606205
233,Super built-up  Area,7th Phase JP Nagar,3 BHK,1976.0,3.0,145.0,3,7338.056680161943
234,Super built-up  Area,7th Phase JP Nagar,3 BHK,1600.0,2.0,110.0,3,6875.0
235,Super built-up  Area,7th Phase JP Nagar,3 BHK,1765.0,3.0,118.0,3,6685.552407932011
236,Built-up  Area,7th Phase JP Nagar,3 BHK,1275.0,2.0,88.0,3,6901.9607843137255
237,Super built-up  Area,7th Phase JP Nagar,3 BHK,1450.0,2.0,102.0,3,7034.482758620689
238,Super built-up  Area,7th Phase JP Nagar,3 BHK,1575.0,2.0,110.0,3,6984.126984126984
240,Super built-up  Area,7th Phase JP Nagar,1 BHK,750.0,1.0,47.0,1,6266.666666666667
241,Super built-up  Area,7th Phase JP Nagar,2 BHK,990.0,2.0,50.0,2,5050.50505050505
242,Plot  Area,7th Phase JP Nagar,1 Bedroom,1000.0,1.0,60.0,1,6000.0
244,Super built-up  Area,7th Phase JP Nagar,3 BHK,1430.0,2.0,102.0,3,7132.867132867133
245,Super built-up  Area,7th Phase JP Nagar,2 BHK,1128.0,2.0,60.0,2,5319.148936170212
246,Built-up  Area,7th Phase JP Nagar,2 BHK,1140.0,2.0,57.0,2,5000.0
247,Super built-up  Area,7th Phase JP Nagar,3 BHK,1420.0,3.0,90.0,3,6338.028169014085
248,Super built-up  Area,7th Phase JP Nagar,2 BHK,1530.0,2.0,108.0,2,7058.823529411765
249,Built-up  Area,8th Block Jayanagar,6 Bedroom,2000.0,6.0,300.0,6,15000.0
250,Super built-up  Area,8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,5030.740568234746
251,Super built-up  Area,8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1,6629.711751662971
253,Super built-up  Area,8th Phase JP Nagar,2 BHK,1062.0,2.0,42.47,2,3999.0583804143125
255,Super built-up  Area,8th Phase JP Nagar,3 BHK,1455.0,3.0,73.31,3,5038.487972508591
256,Super built-up  Area,8th Phase JP Nagar,2 BHK,871.0,2.0,55.0,2,6314.580941446613
257,Super built-up  Area,8th Phase JP Nagar,2 BHK,1098.0,2.0,43.91,2,3999.089253187614
258,Super built-up  Area,8th Phase JP Nagar,3 BHK,1800.0,3.0,80.0,3,4444.444444444444
259,Built-up  Area,8th Phase JP Nagar,4 Bedroom,2700.0,4.0,130.0,4,4814.814814814815
260,Super built-up  Area,8th Phase JP Nagar,2 BHK,1080.0,2.0,38.0,2,3518.5185185185187
261,Super built-up  Area,8th Phase JP Nagar,2 BHK,1059.0,2.0,34.5,2,3257.790368271955
262,Super built-up  Area,8th Phase JP Nagar,2 BHK,1080.0,2.0,35.0,2,3240.740740740741
264,Super built-up  Area,8th Phase JP Nagar,2 BHK,1062.0,2.0,42.47,2,3999.0583804143125
265,Super built-up  Area,8th Phase JP Nagar,1 BHK,500.0,1.0,31.0,1,6200.0
266,Super built-up  Area,8th Phase JP Nagar,2 BHK,1100.0,2.0,35.0,2,3181.818181818182
267,Super built-up  Area,8th Phase JP Nagar,4 BHK,2100.0,4.0,92.0,4,4380.952380952381
268,Super built-up  Area,8th Phase JP Nagar,2 BHK,1035.0,2.0,39.33,2,3800.0
269,Super built-up  Area,8th Phase JP Nagar,2 BHK,909.0,2.0,40.9,2,4499.4499449945
270,Super built-up  Area,8th Phase JP Nagar,3 BHK,1431.5,3.0,72.02,3,5031.086273140063
271,Built-up  Area,8th Phase JP Nagar,3 Bedroom,1900.0,4.0,90.0,3,4736.8421052631575
272,Super built-up  Area,8th Phase JP Nagar,1 BHK,500.0,1.0,30.0,1,6000.0
273,Super built-up  Area,8th Phase JP Nagar,2 BHK,1125.0,2.0,36.94,2,3283.5555555555557
274,Super built-up  Area,8th Phase JP Nagar,2 BHK,1100.0,2.0,35.0,2,3181.818181818182
275,Super built-up  Area,8th Phase JP Nagar,2 BHK,1089.0,2.0,43.55,2,3999.0817263544536
277,Super built-up  Area,8th Phase JP Nagar,3 BHK,1504.0,2.0,83.0,3,5518.617021276596
278,Built-up  Area,8th Phase JP Nagar,4 Bedroom,2600.0,4.0,115.0,4,4423.076923076923
280,Super built-up  Area,8th Phase JP Nagar,2 BHK,1089.0,2.0,43.55,2,3999.0817263544536
282,Super built-up  Area,8th Phase JP Nagar,2 BHK,1513.0,2.0,62.0,2,4097.818902842036
283,Built-up  Area,8th Phase JP Nagar,2 BHK,1298.0,2.0,59.0,2,4545.454545454545
284,Built-up  Area,8th Phase JP Nagar,2 BHK,1006.0,2.0,44.0,2,4373.75745526839
285,Carpet  Area,8th Phase JP Nagar,1 BHK,500.0,1.0,33.0,1,6600.0
286,Super built-up  Area,8th Phase JP Nagar,2 BHK,1160.0,2.0,95.0,2,8189.6551724137935
287,Super built-up  Area,8th Phase JP Nagar,2 BHK,1245.0,2.0,59.0,2,4738.955823293173
288,Super built-up  Area,8th Phase JP Nagar,2 BHK,1510.0,2.0,80.0,2,5298.013245033113
289,Super built-up  Area,8th Phase JP Nagar,3 BHK,3300.0,3.0,165.0,3,5000.0
290,Built-up  Area,8th Phase JP Nagar,5 Bedroom,1730.0,5.0,75.0,5,4335.260115606937
293,Super built-up  Area,8th Phase JP Nagar,2 BHK,1046.0,2.0,48.0,2,4588.910133843212
295,Super built-up  Area,8th Phase JP Nagar,3 BHK,1408.0,3.0,80.0,3,5681.818181818182
297,Plot  Area,8th block Koramangala,3 Bedroom,1846.0,3.0,300.0,3,16251.354279523293
298,Plot  Area,8th block Koramangala,2 Bedroom,1410.0,1.0,233.0,2,16524.822695035462
299,Super built-up  Area,8th block Koramangala,2 BHK,1165.0,2.0,135.0,2,11587.982832618025
300,Plot  Area,8th block Koramangala,3 Bedroom,2400.0,3.0,290.0,3,12083.333333333334
301,Plot  Area,9th Block Jayanagar,1 Bedroom,700.0,1.0,150.0,1,21428.571428571428
302,Plot  Area,9th Block Jayanagar,4 Bedroom,1440.0,4.0,240.0,4,16666.666666666668
303,Super built-up  Area,9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2,4975.124378109453
305,Super built-up  Area,9th Phase JP Nagar,2 BHK,1100.0,2.0,65.0,2,5909.090909090909
