,location,size,total_sqft,bath,price,bhk,price_per_sqft
45,5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000.0
46,5th Phase JP Nagar,2 BHK,1207.0,2.0,63.0,2,5219.552609776305
47,5th Phase JP Nagar,3 BHK,1725.0,2.0,100.0,3,5797.101449275363
48,5th Phase JP Nagar,2 BHK,1440.0,2.0,60.0,2,4166.666666666667
49,5th Phase JP Nagar,3 BHK,1700.0,2.0,100.0,3,5882.352941176469
50,5th Phase JP Nagar,5 BHK,2500.0,5.0,110.0,5,4400.0
51,5th Phase JP Nagar,1 BHK,600.0,1.0,30.0,1,5000.0
52,5th Phase JP Nagar,2 BHK,1390.0,2.0,65.0,2,4676.258992805755
53,5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000.0
54,5th Phase JP Nagar,2 BHK,1000.0,2.0,48.0,2,4800.0
55,5th Phase JP Nagar,3 BHK,1350.0,2.0,75.0,3,5555.555555555556
56,5th Phase JP Nagar,1 BHK,552.0,1.0,23.5,1,4257.246376811594
57,5th Phase JP Nagar,2 BHK,1200.0,2.0,51.0,2,4250.0
58,5th Phase JP Nagar,2 BHK,1030.0,2.0,57.0,2,5533.980582524273
59,5th Phase JP Nagar,2 BHK,1200.0,2.0,68.0,2,5666.666666666668
60,5th Phase JP Nagar,2 BHK,1190.0,2.0,61.8,2,5193.27731092437
61,5th Phase JP Nagar,5 BHK,4000.0,5.0,170.0,5,4250.0
62,5th Phase JP Nagar,2 BHK,1080.0,2.0,53.0,2,4907.407407407408
63,5th Phase JP Nagar,2 BHK,1041.0,2.0,54.0,2,5187.319884726225
64,5th Phase JP Nagar,2 BHK,812.0,2.0,42.0,2,5172.4137931034475
65,5th Phase JP Nagar,2 BHK,1010.0,2.0,57.0,2,5643.564356435643
66,5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581.39534883721
67,6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2,6208.053691275169
68,6th Phase JP Nagar,2 BHK,1180.0,2.0,80.0,2,6779.661016949151
69,6th Phase JP Nagar,4 BHK,3245.0,4.0,250.0,4,7704.160246533127
70,6th Phase JP Nagar,3 BHK,1645.0,3.0,100.0,3,6079.0273556231
71,6th Phase JP Nagar,2 BHK,1140.0,2.0,65.0,2,5701.754385964912
72,6th Phase JP Nagar,3 BHK,2040.0,3.0,200.0,3,9803.921568627453
73,6th Phase JP Nagar,2 BHK,1213.0,2.0,63.0,2,5193.734542456718
74,6th Phase JP Nagar,2 BHK,1216.0,2.0,60.0,2,4934.210526315789
75,6th Phase JP Nagar,2 BHK,1460.0,2.0,80.0,2,5479.45205479452
76,6th Phase JP Nagar,3 BHK,2003.0,3.0,200.0,3,9985.022466300548
77,6th Phase JP Nagar,3 BHK,1810.0,3.0,131.0,3,7237.5690607734805
78,6th Phase JP Nagar,3 BHK,1515.0,2.0,135.0,3,8910.89108910891
79,6th Phase JP Nagar,2 BHK,1192.0,2.0,75.0,2,6291.946308724831
80,6th Phase JP Nagar,2 BHK,1280.0,2.0,88.0,2,6875.0
81,7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2,6666.666666666668
82,7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2,7322.834645669292
83,7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3,7042.253521126761
84,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
85,7th Phase JP Nagar,2 BHK,1245.0,2.0,94.0,2,7550.2008032128515
86,7th Phase JP Nagar,2 BHK,1175.0,2.0,82.0,2,6978.723404255318
87,7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3,6785.714285714284
88,7th Phase JP Nagar,3 BHK,2225.0,3.0,160.0,3,7191.011235955056
89,7th Phase JP Nagar,2 BHK,1050.0,2.0,71.0,2,6761.904761904762
90,7th Phase JP Nagar,2 BHK,1100.0,2.0,46.0,2,4181.818181818182
91,7th Phase JP Nagar,2 BHK,918.0,2.0,50.49,2,5500.0
92,7th Phase JP Nagar,3 BHK,1450.0,2.0,100.0,3,6896.551724137931
93,7th Phase JP Nagar,2 BHK,1190.0,2.0,49.98,2,4200.0
94,7th Phase JP Nagar,3 BHK,1420.0,2.0,96.0,3,6760.563380281689
95,7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3,7142.857142857143
96,7th Phase JP Nagar,2 BHK,980.0,2.0,69.0,2,7040.816326530611
97,7th Phase JP Nagar,2 BHK,1180.0,2.0,72.0,2,6101.694915254238
98,7th Phase JP Nagar,3 BHK,1400.0,3.0,115.0,3,8214.285714285714
99,7th Phase JP Nagar,2 BHK,1270.0,2.0,83.0,2,6535.433070866143
100,7th Phase JP Nagar,4 BHK,2503.0,4.0,188.0,4,7510.986815821015
101,7th Phase JP Nagar,3 BHK,2200.0,3.0,190.0,3,8636.363636363636
102,7th Phase JP Nagar,3 BHK,1575.0,2.0,110.0,3,6984.126984126983
103,7th Phase JP Nagar,3 BHK,1850.0,3.0,140.0,3,7567.567567567566
104,7th Phase JP Nagar,3 BHK,1575.0,2.0,120.0,3,7619.047619047618
105,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
106,7th Phase JP Nagar,3 BHK,1680.0,3.0,120.0,3,7142.857142857143
107,7th Phase JP Nagar,2 BHK,1175.0,2.0,82.5,2,7021.276595744682
108,7th Phase JP Nagar,2 BHK,1215.0,2.0,90.0,2,7407.407407407409
109,7th Phase JP Nagar,2 BHK,1050.0,2.0,75.0,2,7142.857142857143
110,7th Phase JP Nagar,3 BHK,1300.0,3.0,89.13,3,6856.153846153847
111,7th Phase JP Nagar,2 BHK,1130.0,2.0,73.0,2,6460.176991150442
112,7th Phase JP Nagar,3 BHK,1450.0,3.0,100.0,3,6896.551724137931
113,7th Phase JP Nagar,2 BHK,1050.0,2.0,50.0,2,4761.904761904762
114,7th Phase JP Nagar,2 BHK,1275.0,2.0,87.0,2,6823.529411764705
115,7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3,6666.666666666668
116,7th Phase JP Nagar,2 BHK,850.0,2.0,42.0,2,4941.176470588235
117,7th Phase JP Nagar,3 BHK,1680.0,3.0,117.0,3,6964.285714285716
118,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3,8108.108108108108
119,7th Phase JP Nagar,2 BHK,1236.0,2.0,61.33,2,4961.974110032364
120,7th Phase JP Nagar,2 BHK,1000.0,2.0,53.0,2,5300.0
121,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476192
122,7th Phase JP Nagar,3 BHK,1675.0,2.0,135.0,3,8059.701492537313
123,7th Phase JP Nagar,2 BHK,1187.0,2.0,59.0,2,4970.513900589723
124,7th Phase JP Nagar,3 BHK,1850.0,3.0,155.0,3,8378.378378378378
125,7th Phase JP Nagar,2 BHK,1000.0,2.0,61.0,2,6100.0
126,7th Phase JP Nagar,3 BHK,1460.0,2.0,100.0,3,6849.315068493151
127,7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3,6666.666666666668
128,7th Phase JP Nagar,2 BHK,1200.0,2.0,62.5,2,5208.333333333333
129,7th Phase JP Nagar,2 BHK,1000.0,2.0,70.65,2,7065.000000000001
130,7th Phase JP Nagar,2 BHK,1080.0,2.0,75.0,2,6944.444444444444
131,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476192
132,7th Phase JP Nagar,3 BHK,1460.0,2.0,97.0,3,6643.835616438356
133,7th Phase JP Nagar,2 BHK,1120.0,2.0,65.0,2,5803.571428571428
134,7th Phase JP Nagar,2 BHK,1100.0,3.0,60.0,2,5454.545454545455
135,7th Phase JP Nagar,3 BHK,1790.0,3.0,120.0,3,6703.910614525141
136,7th Phase JP Nagar,3 BHK,1680.0,3.0,117.0,3,6964.285714285716
137,7th Phase JP Nagar,2 BHK,1050.0,2.0,77.0,2,7333.333333333332
138,7th Phase JP Nagar,2 BHK,1050.0,2.0,75.0,2,7142.857142857143
139,7th Phase JP Nagar,2 BHK,1040.0,2.0,75.0,2,7211.538461538462
140,7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3,6785.714285714284
141,7th Phase JP Nagar,3 BHK,1800.0,3.0,130.0,3,7222.222222222223
142,7th Phase JP Nagar,2 BHK,1050.0,2.0,68.0,2,6476.190476190476
143,7th Phase JP Nagar,2 BHK,1000.0,2.0,60.0,2,6000.0
144,7th Phase JP Nagar,3 BHK,1680.0,3.0,125.0,3,7440.476190476192
145,7th Phase JP Nagar,2 BHK,1050.0,2.0,77.47,2,7378.095238095238
146,7th Phase JP Nagar,2 BHK,1270.0,2.0,80.0,2,6299.212598425196
147,7th Phase JP Nagar,3 BHK,1680.0,3.0,122.0,3,7261.904761904762
148,7th Phase JP Nagar,2 BHK,1130.0,2.0,85.0,2,7522.123893805308
149,7th Phase JP Nagar,3 BHK,1680.0,3.0,130.0,3,7738.095238095238
150,7th Phase JP Nagar,2 BHK,980.0,2.0,77.44,2,7902.040816326531
151,7th Phase JP Nagar,3 BHK,1680.0,3.0,112.0,3,6666.666666666668
152,7th Phase JP Nagar,3 BHK,2095.0,3.0,150.0,3,7159.904534606205
153,7th Phase JP Nagar,3 BHK,1976.0,3.0,145.0,3,7338.056680161943
154,7th Phase JP Nagar,3 BHK,1600.0,2.0,110.0,3,6875.0
155,7th Phase JP Nagar,3 BHK,1765.0,3.0,118.0,3,6685.55240793201
156,7th Phase JP Nagar,3 BHK,1275.0,2.0,88.0,3,6901.9607843137255
157,7th Phase JP Nagar,3 BHK,1450.0,2.0,102.0,3,7034.482758620688
158,7th Phase JP Nagar,3 BHK,1575.0,2.0,110.0,3,6984.126984126983
159,7th Phase JP Nagar,1 BHK,750.0,1.0,47.0,1,6266.666666666668
160,7th Phase JP Nagar,2 BHK,990.0,2.0,50.0,2,5050.50505050505
161,7th Phase JP Nagar,1 Bedroom,1000.0,1.0,60.0,1,6000.0
162,7th Phase JP Nagar,3 BHK,1430.0,2.0,102.0,3,7132.867132867133
163,7th Phase JP Nagar,2 BHK,1128.0,2.0,60.0,2,5319.1489361702115
164,7th Phase JP Nagar,2 BHK,1140.0,2.0,57.0,2,5000.0
165,7th Phase JP Nagar,3 BHK,1420.0,3.0,90.0,3,6338.028169014085
166,7th Phase JP Nagar,2 BHK,1530.0,2.0,108.0,2,7058.823529411765
167,8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,5030.740568234746
168,8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1,6629.711751662971
169,8th Phase JP Nagar,2 BHK,1062.0,2.0,42.47,2,3999.0583804143125
170,8th Phase JP Nagar,3 BHK,1455.0,3.0,73.31,3,5038.48797250859
171,8th Phase JP Nagar,2 BHK,871.0,2.0,55.0,2,6314.580941446613
172,8th Phase JP Nagar,2 BHK,1098.0,2.0,43.91,2,3999.0892531876143
173,8th Phase JP Nagar,3 BHK,1800.0,3.0,80.0,3,4444.444444444444
174,8th Phase JP Nagar,4 Bedroom,2700.0,4.0,130.0,4,4814.814814814815
175,8th Phase JP Nagar,2 BHK,1080.0,2.0,38.0,2,3518.518518518519
176,8th Phase JP Nagar,2 BHK,1059.0,2.0,34.5,2,3257.790368271955
177,8th Phase JP Nagar,2 BHK,1080.0,2.0,35.0,2,3240.740740740741
178,8th Phase JP Nagar,2 BHK,1062.0,2.0,42.47,2,3999.0583804143125
179,8th Phase JP Nagar,1 BHK,500.0,1.0,31.0,1,6200.0
180,8th Phase JP Nagar,2 BHK,1100.0,2.0,35.0,2,3181.818181818182
181,8th Phase JP Nagar,4 BHK,2100.0,4.0,92.0,4,4380.952380952381
182,8th Phase JP Nagar,2 BHK,1035.0,2.0,39.33,2,3800.0
183,8th Phase JP Nagar,2 BHK,909.0,2.0,40.9,2,4499.4499449945
184,8th Phase JP Nagar,3 BHK,1431.5,3.0,72.02,3,5031.086273140063
185,8th Phase JP Nagar,3 Bedroom,1900.0,4.0,90.0,3,4736.842105263158
186,8th Phase JP Nagar,1 BHK,500.0,1.0,30.0,1,6000.0
187,8th Phase JP Nagar,2 BHK,1125.0,2.0,36.94,2,3283.555555555556
188,8th Phase JP Nagar,2 BHK,1100.0,2.0,35.0,2,3181.818181818182
189,8th Phase JP Nagar,2 BHK,1089.0,2.0,43.55,2,3999.0817263544536
190,8th Phase JP Nagar,3 BHK,1504.0,2.0,83.0,3,5518.617021276596
191,8th Phase JP Nagar,4 Bedroom,2600.0,4.0,115.0,4,4423.076923076923
192,8th Phase JP Nagar,2 BHK,1089.0,2.0,43.55,2,3999.0817263544536
193,8th Phase JP Nagar,2 BHK,1513.0,2.0,62.0,2,4097.818902842037
194,8th Phase JP Nagar,2 BHK,1298.0,2.0,59.0,2,4545.454545454545
195,8th Phase JP Nagar,2 BHK,1006.0,2.0,44.0,2,4373.75745526839
196,8th Phase JP Nagar,1 BHK,500.0,1.0,33.0,1,6600.0
197,8th Phase JP Nagar,2 BHK,1160.0,2.0,95.0,2,8189.655172413794
198,8th Phase JP Nagar,2 BHK,1245.0,2.0,59.0,2,4738.955823293173
199,8th Phase JP Nagar,2 BHK,1510.0,2.0,80.0,2,5298.013245033113
200,8th Phase JP Nagar,3 BHK,3300.0,3.0,165.0,3,5000.0
201,8th Phase JP Nagar,5 Bedroom,1730.0,5.0,75.0,5,4335.260115606938
202,8th Phase JP Nagar,2 BHK,1046.0,2.0,48.0,2,4588.910133843212
203,8th Phase JP Nagar,3 BHK,1408.0,3.0,80.0,3,5681.818181818182
204,9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2,4975.124378109454
205,9th Phase JP Nagar,2 BHK,1100.0,2.0,65.0,2,5909.090909090909
206,9th Phase JP Nagar,2 BHK,1080.0,2.0,37.0,2,3425.925925925926
207,9th Phase JP Nagar,2 BHK,1035.0,2.0,45.0,2,4347.826086956522
208,9th Phase JP Nagar,4 BHK,5000.0,4.0,290.0,4,5800.0
209,9th Phase JP Nagar,2 BHK,1164.0,2.0,56.0,2,4810.9965635738845
210,9th Phase JP Nagar,2 BHK,1005.0,2.0,42.0,2,4179.104477611941
211,9th Phase JP Nagar,2 BHK,1127.0,2.0,50.0,2,4436.557231588286
212,9th Phase JP Nagar,2 BHK,1005.0,2.0,43.0,2,4278.606965174129
213,9th Phase JP Nagar,2 BHK,835.0,2.0,37.0,2,4431.1377245508975
214,9th Phase JP Nagar,2 BHK,1050.0,2.0,39.0,2,3714.285714285714
215,9th Phase JP Nagar,2 BHK,660.0,2.0,27.0,2,4090.909090909091
216,9th Phase JP Nagar,1 BHK,600.0,1.0,20.0,1,3333.333333333333
217,9th Phase JP Nagar,2 BHK,1466.0,2.0,71.0,2,4843.110504774898
218,9th Phase JP Nagar,3 BHK,1890.0,2.0,93.0,3,4920.634920634921
219,9th Phase JP Nagar,2 BHK,1079.0,2.0,60.0,2,5560.704355885079
220,9th Phase JP Nagar,2 BHK,1480.0,2.0,80.0,2,5405.405405405405
221,9th Phase JP Nagar,2 Bedroom,1200.0,2.0,80.0,2,6666.666666666668
222,9th Phase JP Nagar,2 BHK,905.0,2.0,32.0,2,3535.911602209945
223,9th Phase JP Nagar,2 BHK,1073.0,2.0,52.36,2,4879.77632805219
224,9th Phase JP Nagar,3 BHK,1719.3,2.0,88.0,3,5118.362124120282
225,9th Phase JP Nagar,3 BHK,1780.0,3.0,88.0,3,4943.820224719101
226,9th Phase JP Nagar,3 BHK,1522.0,3.0,90.0,3,5913.2720105124845
227,9th Phase JP Nagar,2 BHK,890.0,2.0,45.0,2,5056.179775280899
228,9th Phase JP Nagar,4 BHK,5000.0,4.0,300.0,4,6000.0
229,9th Phase JP Nagar,2 BHK,1050.0,2.0,35.0,2,3333.333333333333
230,9th Phase JP Nagar,2 BHK,1331.95,2.0,69.0,2,5180.374638687638
231,AECS Layout,2 BHK,1100.0,2.0,45.0,2,4090.909090909091
232,AECS Layout,2 BHK,1028.0,2.0,42.0,2,4085.603112840467
233,AECS Layout,2 BHK,1199.0,2.0,65.0,2,5421.184320266889
234,AECS Layout,2 BHK,1080.0,2.0,55.0,2,5092.592592592592
235,AECS Layout,2 BHK,1123.0,2.0,64.0,2,5699.020480854853
236,AECS Layout,2 BHK,1308.0,2.0,60.0,2,4587.155963302752
237,AECS Layout,2 BHK,1005.0,2.0,55.0,2,5472.636815920398
238,Abbigere,2 BHK,985.0,2.0,40.39,2,4100.507614213198
239,Abbigere,6 Bedroom,2200.0,6.0,68.0,6,3090.909090909091
240,Abbigere,1 BHK,765.0,2.0,30.0,1,3921.5686274509803
241,Abbigere,2 BHK,880.0,2.0,35.0,2,3977.2727272727284
242,Abbigere,2 BHK,795.0,2.0,32.54,2,4093.0817610062895
243,Abbigere,2 BHK,1005.0,2.0,39.59,2,3939.303482587065
244,Abbigere,1 BHK,734.0,1.0,19.82,1,2700.272479564033
245,Abbigere,2 BHK,1020.0,2.0,41.82,2,4100.0
246,Abbigere,2 BHK,985.0,2.0,40.39,2,4100.507614213198
247,Abbigere,6 Bedroom,2500.0,6.0,81.0,6,3240.0
248,Abbigere,2 BHK,795.0,2.0,32.54,2,4093.0817610062895
249,Abbigere,2 BHK,1130.0,2.0,46.33,2,4100.0
250,Abbigere,2 BHK,795.0,1.0,32.6,2,4100.62893081761
251,Abbigere,8 Bedroom,3000.0,8.0,150.0,8,5000.0
252,Abbigere,2 BHK,985.0,2.0,38.92,2,3951.269035532995
253,Abbigere,2 BHK,1000.0,2.0,41.0,2,4100.0
254,Abbigere,2 BHK,995.0,2.0,40.8,2,4100.5025125628135
255,Abbigere,2 BHK,1020.0,2.0,40.8,2,4000.0
256,Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2,4106.628242074928
257,Akshaya Nagar,2 BHK,1070.0,2.0,54.0,2,5046.728971962617
258,Akshaya Nagar,2 BHK,1280.0,2.0,58.0,2,4531.25
259,Akshaya Nagar,3 BHK,1662.0,3.0,85.1,3,5120.336943441635
260,Akshaya Nagar,3 BHK,1897.0,3.0,120.0,3,6325.77754348972
261,Akshaya Nagar,3 BHK,1410.0,2.0,75.0,3,5319.1489361702115
262,Akshaya Nagar,3 BHK,1360.0,2.0,85.0,3,6250.0
263,Akshaya Nagar,3 BHK,1410.0,2.0,80.0,3,5673.758865248227
264,Akshaya Nagar,3 BHK,1662.0,3.0,85.0,3,5114.3200962695555
265,Akshaya Nagar,3 BHK,1662.0,3.0,85.5,3,5144.404332129964
266,Akshaya Nagar,2 BHK,1280.0,2.0,60.0,2,4687.5
267,Akshaya Nagar,3 BHK,1666.0,3.0,95.0,3,5702.280912364947
268,Akshaya Nagar,3 BHK,1575.0,3.0,90.0,3,5714.285714285716
269,Akshaya Nagar,3 BHK,1430.0,2.0,75.0,3,5244.755244755244
270,Akshaya Nagar,3 BHK,1419.0,2.0,73.0,3,5144.4679351656105
271,Akshaya Nagar,2 BHK,1280.0,2.0,60.0,2,4687.5
272,Akshaya Nagar,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
273,Akshaya Nagar,2 BHK,1092.0,2.0,60.0,2,5494.5054945054935
274,Akshaya Nagar,3 BHK,1690.0,3.0,85.0,3,5029.585798816568
275,Akshaya Nagar,3 BHK,1897.0,4.0,93.0,3,4902.477596204533
276,Akshaya Nagar,3 BHK,1884.0,3.0,98.0,3,5201.698513800425
277,Akshaya Nagar,2 BHK,1314.0,2.0,68.8,2,5235.920852359209
278,Akshaya Nagar,3 BHK,1690.0,3.0,85.0,3,5029.585798816568
279,Akshaya Nagar,2 BHK,1265.0,2.0,67.0,2,5296.442687747036
280,Akshaya Nagar,2 BHK,1126.0,2.0,55.0,2,4884.547069271758
281,Akshaya Nagar,3 BHK,1662.0,3.0,90.0,3,5415.162454873646
282,Akshaya Nagar,3 BHK,1420.0,2.0,75.0,3,5281.69014084507
283,Akshaya Nagar,3 BHK,1412.0,2.0,88.0,3,6232.294617563739
284,Akshaya Nagar,3 BHK,1434.0,3.0,84.0,3,5857.740585774059
285,Akshaya Nagar,3 BHK,1890.0,4.0,100.0,3,5291.005291005291
286,Akshaya Nagar,3 BHK,1419.0,2.0,87.0,3,6131.0782241014795
287,Akshaya Nagar,2 BHK,1300.0,2.0,54.0,2,4153.846153846154
288,Akshaya Nagar,3 BHK,1690.0,3.0,85.0,3,5029.585798816568
289,Akshaya Nagar,2 BHK,1113.0,2.0,52.0,2,4672.057502246183
290,Akshaya Nagar,3 BHK,1820.0,4.0,95.0,3,5219.780219780219
291,Akshaya Nagar,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
292,Akshaya Nagar,3 BHK,1896.0,3.0,102.0,3,5379.7468354430375
293,Akshaya Nagar,2 BHK,1300.0,2.0,66.0,2,5076.923076923077
294,Akshaya Nagar,2 BHK,1225.0,2.0,68.0,2,5551.020408163266
295,Akshaya Nagar,2 BHK,1179.0,2.0,51.0,2,4325.699745547074
296,Akshaya Nagar,3 BHK,1421.0,2.0,73.0,3,5137.227304714989
297,Akshaya Nagar,3 BHK,1893.0,4.0,95.0,3,5018.489170628633
298,Akshaya Nagar,2 BHK,900.0,2.0,45.0,2,5000.0
299,Ambalipura,2 BHK,1105.0,2.0,75.0,2,6787.330316742083
300,Ambalipura,3 BHK,1800.0,3.0,110.0,3,6111.11111111111
301,Ambalipura,2 BHK,1150.0,2.0,80.0,2,6956.521739130435
302,Ambalipura,2 BHK,1250.0,2.0,66.25,2,5300.0
303,Ambalipura,2 BHK,1332.0,2.0,79.0,2,5930.930930930931
304,Ambalipura,3 BHK,1730.0,3.0,120.0,3,6936.416184971097
305,Ambalipura,2 BHK,1230.0,2.0,66.25,2,5386.178861788618
306,Ambalipura,2 BHK,1351.0,2.0,77.0,2,5699.481865284974
307,Ambalipura,2 BHK,1303.0,2.0,80.0,2,6139.677666922486
308,Ambalipura,3 BHK,1607.0,2.0,112.0,3,6969.508400746733
309,Ambalipura,1 BHK,770.0,1.0,43.82,1,5690.909090909091
310,Ambalipura,2 BHK,1700.0,2.0,76.0,2,4470.588235294118
311,Ambalipura,2 BHK,1060.0,2.0,58.5,2,5518.867924528302
312,Ambalipura,3 BHK,1650.0,3.0,100.0,3,6060.606060606061
313,Ambalipura,3 BHK,1607.0,2.0,112.0,3,6969.508400746733
314,Ambalipura,2 BHK,1198.0,2.0,80.0,2,6677.7963272120205
315,Ambedkar Nagar,3 BHK,1935.0,4.0,130.0,3,6718.346253229975
316,Ambedkar Nagar,2 BHK,1424.0,2.0,90.0,2,6320.224719101125
317,Ambedkar Nagar,3 BHK,2225.0,4.0,169.0,3,7595.505617977528
318,Ambedkar Nagar,3 BHK,1862.0,3.0,120.0,3,6444.68313641246
319,Ambedkar Nagar,3 BHK,1850.0,4.0,139.0,3,7513.513513513513
320,Ambedkar Nagar,3 BHK,1936.0,4.0,126.0,3,6508.264462809917
321,Ambedkar Nagar,3 BHK,1862.0,3.0,119.0,3,6390.977443609024
322,Ambedkar Nagar,2 BHK,1424.0,2.0,90.0,2,6320.224719101125
323,Ambedkar Nagar,3 BHK,2150.0,4.0,125.0,3,5813.9534883720935
324,Ambedkar Nagar,4 BHK,3530.0,4.0,290.0,4,8215.297450424929
325,Ambedkar Nagar,3 BHK,1856.0,3.0,120.0,3,6465.517241379312
326,Ambedkar Nagar,3 BHK,1852.0,3.0,130.0,3,7019.438444924405
327,Ambedkar Nagar,3 BHK,1850.0,4.0,120.0,3,6486.486486486487
328,Ambedkar Nagar,2 BHK,1367.0,2.0,86.0,2,6291.148500365764
329,Ambedkar Nagar,4 Bedroom,3565.0,4.0,255.0,4,7152.8751753155675
330,Ambedkar Nagar,2 BHK,1409.0,2.0,95.0,2,6742.37047551455
331,Ambedkar Nagar,3 BHK,1950.0,4.0,120.0,3,6153.846153846153
332,Ambedkar Nagar,3 BHK,1921.0,4.0,129.0,3,6715.252472670483
333,Ambedkar Nagar,3 BHK,1920.0,4.0,121.0,3,6302.083333333332
334,Ambedkar Nagar,3 BHK,1935.0,4.0,125.0,3,6459.948320413438
